time,open,high,low,close
2002-11-15,10292,10361,10228,10348
2002-11-18,10344,10420,10253,10262
2002-11-19,10256,10323,10180,10267
2002-11-20,10281,10476,10216,10454
2002-11-21,10447,10651,10427,10641
2002-11-22,10625,10658,10570,10578
2002-11-25,10602,10652,10536,10609
2002-11-26,10601,10626,10442,10447
2002-11-27,10471,10721,10447,10709
2002-11-29,10702,10742,10632,10652
2002-12-02,10652,10826,10562,10652
2002-12-03,10667,10676,10500,10547
2002-12-04,10518,10591,10428,10525
2002-12-05,10524,10610,10387,10422
2002-12-06,10422,10464,10268,10439
2002-12-09,10457,10457,10223,10235
2002-12-10,10263,10360,10249,10337
2002-12-11,10332,10409,10267,10352
2002-12-12,10378,10398,10291,10323
2002-12-13,10317,10317,10180,10198
2002-12-16,10184,10422,10184,10415
2002-12-17,10417,10427,10302,10316
2002-12-18,10319,10323,10186,10233
2002-12-19,10224,10293,10105,10153
2002-12-20,10176,10343,10163,10310
2002-12-23,10300,10335,10240,10288
2002-12-24,10288,10302,10218,10228
2002-12-26,10243,10343,10183,10233
2002-12-27,10223,10235,10059,10068
2002-12-30,10059,10147,10033,10105
2002-12-31,10098,10142,10019,10129
2003-01-02,10118,10408,10114,10389
2003-01-03,10384,10419,10333,10402
2003-01-06,10428,10585,10359,10535
2003-01-07,10525,10586,10489,10548
2003-01-08,10528,10543,10359,10381
2003-01-09,10400,10572,10373,10539
2003-01-10,10540,10600,10437,10565
2003-01-13,10559,10662,10527,10575
2003-01-14,10573,10633,10525,10608
2003-01-15,10617,10653,10480,10529
2003-01-16,10520,10588,10453,10498
2003-01-17,10465,10467,10336,10381
2003-01-21,10391,10408,10211,10233
2003-01-22,10233,10271,10084,10098
2003-01-23,10121,10173,10037,10118
2003-01-24,10124,10132,9885,9911
2003-01-27,9914,9939,9733,9781
2003-01-28,9793,9892,9762,9843
2003-01-29,9838,9938,9678,9872
2003-01-30,9878,9924,9662,9698
2003-01-31,9696,9872,9646,9845
2003-02-03,9878,9927,9848,9875
2003-02-04,9880,9880,9703,9818
2003-02-05,9813,9931,9742,9778
2003-02-06,9759,9795,9661,9738
2003-02-07,9747,9819,9607,9651
2003-02-10,9673,9715,9578,9707
2003-02-11,9722,9765,9582,9637
2003-02-12,9626,9643,9527,9533
2003-02-13,9534,9579,9415,9558
2003-02-14,9555,9846,9510,9723
2003-02-18,9747,9864,9702,9845
2003-02-19,9835,9835,9727,9811
2003-02-20,9803,9863,9685,9723
2003-02-21,9723,9837,9642,9798
2003-02-24,9822,9839,9642,9658
2003-02-25,9641,9727,9504,9718
2003-02-26,9728,9738,9586,9608
2003-02-27,9601,9720,9572,9690
2003-02-28,9688,9760,9645,9718
2003-03-03,9736,9778,9613,9641
2003-03-04,9629,9646,9500,9510
2003-03-05,9494,9571,9458,9565
2003-03-06,9569,9571,9428,9473
2003-03-07,9472,9553,9354,9533
2003-03-10,9525,9527,9348,9358
2003-03-11,9352,9438,9314,9317
2003-03-12,9325,9366,9216,9359
2003-03-13,9372,9633,9346,9627
2003-03-14,9623,9730,9597,9674
2003-03-17,9618,9950,9540,9925
2003-03-18,9915,10041,9890,9993
2003-03-19,9958,10079,9939,10063
2003-03-20,10100,10125,9923,10085
2003-03-21,10083,10322,10062,10303
2003-03-24,10214,10227,9977,10013
2003-03-25,10007,10135,9945,10065
2003-03-26,10065,10100,9984,10021
2003-03-27,10009,10048,9903,9993
2003-03-28,10008,10014,9905,9943
2003-03-31,9898,9898,9714,9763
2003-04-01,9773,9897,9772,9863
2003-04-02,9898,10119,9882,10065
2003-04-03,10063,10177,10008,10021
2003-04-04,10021,10123,10014,10073
2003-04-07,10181,10323,10074,10077
2003-04-08,10077,10182,10056,10105
2003-04-09,10101,10212,9987,10003
2003-04-10,9999,10039,9941,10027
2003-04-11,10035,10140,9976,10001
2003-04-14,10024,10203,9980,10165
2003-04-15,10163,10276,10104,10223
2003-04-16,10296,10313,10032,10051
2003-04-17,10060,10148,10035,10133
2003-04-21,10162,10200,10103,10148
2003-04-22,10142,10297,10062,10284
2003-04-23,10293,10332,10249,10314
2003-04-24,10296,10303,10196,10232
2003-04-25,10234,10258,10083,10109
2003-04-28,10106,10304,10077,10265
2003-04-29,10259,10360,10235,10300
2003-04-30,10288,10331,10230,10276
2003-05-01,10272,10279,10139,10253
2003-05-02,10275,10393,10208,10368
2003-05-05,10355,10414,10307,10338
2003-05-06,10323,10445,10317,10393
2003-05-07,10379,10435,10324,10371
2003-05-08,10349,10375,10268,10301
2003-05-09,10317,10416,10297,10401
2003-05-12,10413,10544,10369,10518
2003-05-13,10506,10526,10448,10490
2003-05-14,10485,10539,10417,10475
2003-05-15,10471,10539,10450,10520
2003-05-16,10510,10557,10451,10498
2003-05-19,10452,10458,10289,10313
2003-05-20,10305,10362,10222,10306
2003-05-21,10314,10340,10247,10318
2003-05-22,10313,10442,10304,10400
2003-05-23,10413,10439,10355,10415
2003-05-27,10416,10612,10353,10580
2003-05-28,10577,10668,10577,10595
2003-05-29,10587,10683,10499,10536
2003-05-30,10541,10696,10541,10675
2003-06-02,10713,10819,10698,10726
2003-06-03,10702,10759,10675,10750
2003-06-04,10761,10880,10729,10858
2003-06-05,10850,10893,10785,10863
2003-06-06,10873,11038,10858,10878
2003-06-09,10868,10916,10763,10815
2003-06-10,10813,10897,10806,10890
2003-06-11,10892,11010,10864,11000
2003-06-12,11011,11073,10941,11035
2003-06-13,11053,11053,10898,10954
2003-06-16,10926,11148,10923,11139
2003-06-17,11153,11189,11094,11139
2003-06-18,11151,11160,11054,11117
2003-06-19,11124,11147,10973,11002
2003-06-20,10996,11101,10989,11000
2003-06-23,10987,11010,10860,10905
2003-06-24,10911,10969,10869,10931
2003-06-25,10932,10984,10810,10822
2003-06-26,10822,10923,10812,10896
2003-06-27,10904,10932,10790,10797
2003-06-30,10822,10890,10790,10804
2003-07-01,10797,10877,10694,10867
2003-07-02,10874,10977,10873,10974
2003-07-03,10976,10978,10865,10882
2003-07-07,10907,11087,10907,11045
2003-07-08,11043,11062,10985,11054
2003-07-09,11044,11053,10927,10988
2003-07-10,10964,10977,10818,10862
2003-07-11,10854,10972,10827,10944
2003-07-14,10958,11104,10949,10992
2003-07-15,11006,11062,10911,10962
2003-07-16,10994,11022,10861,10935
2003-07-17,10898,10940,10830,10880
2003-07-18,10882,11011,10867,11002
2003-07-21,10997,11010,10895,10930
2003-07-22,10935,11005,10860,10982
2003-07-23,10996,11031,10918,11022
2003-07-24,11037,11114,10925,10935
2003-07-25,10925,11128,10904,11101
2003-07-28,11129,11131,11055,11079
2003-07-29,11080,11117,10985,11035
2003-07-30,11041,11083,10988,11025
2003-07-31,11030,11190,11015,11054
2003-08-01,11065,11096,10962,10987
2003-08-04,10967,11039,10873,11001
2003-08-05,11001,11021,10815,10820
2003-08-06,10823,10963,10822,10879
2003-08-07,10881,10971,10852,10967
2003-08-08,10955,11034,10948,11029
2003-08-11,11026,11079,10968,11051
2003-08-12,11056,11144,11033,11135
2003-08-13,11126,11166,11063,11117
2003-08-14,11109,11167,11016,11130
2003-08-15,11111,11176,11098,11159
2003-08-18,11167,11258,11157,11249
2003-08-19,11255,11283,11182,11269
2003-08-20,11242,11269,11204,11237
2003-08-21,11236,11332,11230,11263
2003-08-22,11260,11345,11180,11190
2003-08-25,11189,11203,11123,11167
2003-08-26,11161,11201,11074,11178
2003-08-27,11189,11193,11148,11170
2003-08-28,11164,11237,11099,11212
2003-08-29,11210,11268,11187,11256
2003-09-02,11279,11379,11224,11368
2003-09-03,11368,11439,11353,11418
2003-09-04,11405,11464,11381,11436
2003-09-05,11432,11440,11302,11352
2003-09-08,11349,11441,11345,11426
2003-09-09,11436,11452,11332,11360
2003-09-10,11356,11363,11241,11281
2003-09-11,11275,11351,11251,11307
2003-09-12,11316,11336,11228,11320
2003-09-15,11327,11340,11286,11298
2003-09-16,11299,11432,11293,11418
2003-09-17,11428,11440,11386,11407
2003-09-18,11401,11511,11384,11507
2003-09-19,11509,11531,11454,11483
2003-09-22,11446,11446,11343,11388
2003-09-23,11395,11429,11352,11409
2003-09-24,11412,11439,11263,11275
2003-09-25,11281,11310,11140,11162
2003-09-26,11171,11209,11138,11162
2003-09-29,11161,11248,11139,11224
2003-09-30,11223,11232,11077,11140
2003-10-01,11148,11321,11140,11318
2003-10-02,11310,11363,11276,11349
2003-10-03,11350,11517,11334,11424
2003-10-06,11414,11476,11411,11453
2003-10-07,11456,11510,11386,11499
2003-10-08,11492,11525,11444,11498
2003-10-09,11504,11621,11484,11544
2003-10-10,11532,11581,11508,11556
2003-10-13,11561,11632,11561,11617
2003-10-14,11635,11681,11582,11664
2003-10-15,11672,11727,11617,11650
2003-10-16,11630,11680,11585,11653
2003-10-17,11642,11676,11558,11580
2003-10-20,11576,11671,11562,11641
2003-10-21,11665,11665,11580,11597
2003-10-22,11581,11584,11432,11468
2003-10-23,11440,11481,11373,11445
2003-10-24,11401,11460,11351,11454
2003-10-27,11448,11519,11435,11469
2003-10-28,11478,11614,11475,11603
2003-10-29,11583,11642,11555,11633
2003-10-30,11634,11706,11608,11669
2003-10-31,11658,11697,11636,11645
2003-11-03,11645,11752,11638,11695
2003-11-04,11696,11730,11679,11701
2003-11-05,11684,11726,11636,11696
2003-11-06,11699,11735,11620,11725
2003-11-07,11730,11797,11637,11655
2003-11-10,11647,11687,11599,11620
2003-11-11,11612,11629,11581,11601
2003-11-12,11609,11735,11592,11722
2003-11-13,11724,11742,11665,11710
2003-11-14,11703,11775,11609,11635
2003-11-17,11599,11607,11500,11588
2003-11-18,11581,11624,11481,11492
2003-11-19,11482,11589,11482,11568
2003-11-20,11585,11604,11463,11493
2003-11-21,11486,11536,11459,11515
2003-11-24,11512,11629,11505,11617
2003-11-25,11617,11672,11596,11638
2003-11-26,11645,11682,11581,11649
2003-11-28,11662,11681,11624,11669
2003-12-01,11661,11781,11632,11772
2003-12-02,11769,11771,11713,11737
2003-12-03,11736,11821,11727,11752
2003-12-04,11754,11813,11748,11804
2003-12-05,11787,11794,11723,11740
2003-12-08,11730,11849,11710,11844
2003-12-09,11848,11877,11790,11804
2003-12-10,11797,11835,11759,11813
2003-12-11,11815,11902,11808,11892
2003-12-12,11898,11933,11852,11917
2003-12-15,12048,12073,11897,11907
2003-12-16,11891,12016,11890,12005
2003-12-17,12003,12046,11971,12039
2003-12-18,12041,12139,12025,12134
2003-12-19,12127,12186,12112,12144
2003-12-22,12105,12239,12097,12233
2003-12-23,12237,12260,12181,12215
2003-12-24,12197,12216,12179,12188
2003-12-26,12196,12225,12192,12199
2003-12-29,12199,12347,12199,12338
2003-12-30,12333,12343,12289,12307
2003-12-31,12313,12346,12290,12322
2004-01-02,12324,12417,12269,12305
2004-01-05,12331,12432,12325,12427
2004-01-06,12429,12435,12386,12421
2004-01-07,12417,12427,12349,12421
2004-01-08,12424,12477,12417,12469
2004-01-09,12477,12481,12329,12340
2004-01-12,12332,12395,12329,12386
2004-01-13,12388,12397,12248,12321
2004-01-14,12316,12444,12312,12434
2004-01-15,12402,12485,12365,12459
2004-01-16,12470,12501,12425,12482
2004-01-20,12487,12525,12405,12417
2004-01-21,12411,12536,12379,12504
2004-01-22,12510,12545,12485,12516
2004-01-23,12507,12537,12408,12458
2004-01-26,12462,12594,12441,12591
2004-01-27,12582,12591,12489,12495
2004-01-28,12493,12546,12323,12372
2004-01-29,12375,12415,12304,12377
2004-01-30,12379,12392,12267,12375
2004-02-02,12377,12456,12324,12392
2004-02-03,12378,12415,12343,12385
2004-02-04,12353,12413,12324,12347
2004-02-05,12339,12409,12339,12381
2004-02-06,12377,12482,12350,12463
2004-02-09,12467,12510,12449,12479
2004-02-10,12480,12523,12449,12492
2004-02-11,12493,12644,12483,12617
2004-02-12,12615,12630,12583,12595
2004-02-13,12604,12631,12502,12530
2004-02-17,12544,12631,12544,12613
2004-02-18,12614,12635,12551,12582
2004-02-19,12593,12657,12560,12570
2004-02-20,12568,12605,12484,12530
2004-02-23,12537,12558,12457,12512
2004-02-24,12511,12544,12423,12472
2004-02-25,12475,12523,12458,12504
2004-02-26,12510,12517,12440,12480
2004-02-27,12485,12555,12460,12489
2004-03-01,12512,12598,12505,12583
2004-03-02,12583,12587,12472,12495
2004-03-03,12492,12515,12451,12495
2004-03-04,12496,12512,12464,12488
2004-03-05,12487,12556,12412,12508
2004-03-08,12509,12541,12401,12405
2004-03-09,12412,12435,12326,12350
2004-03-10,12355,12386,12163,12167
2004-03-11,12179,12231,12012,12025
2004-03-12,12032,12151,12004,12135
2004-03-15,12130,12130,11997,12027
2004-03-16,12031,12122,12004,12092
2004-03-17,12085,12245,12083,12208
2004-03-18,12210,12243,12118,12215
2004-03-19,12232,12255,12064,12084
2004-03-22,12062,12074,11914,11967
2004-03-23,11958,12034,11936,11957
2004-03-24,11940,12013,11904,11966
2004-03-25,11967,12131,11966,12110
2004-03-26,12113,12177,12081,12109
2004-03-29,12135,12254,12122,12241
2004-03-30,12233,12295,12207,12287
2004-03-31,12280,12317,12219,12280
2004-04-01,12279,12326,12248,12299
2004-04-02,12295,12417,12290,12387
2004-04-05,12384,12471,12363,12460
2004-04-06,12457,12483,12406,12453
2004-04-07,12430,12462,12375,12418
2004-04-08,12445,12490,12302,12359
2004-04-12,12338,12439,12332,12431
2004-04-13,12431,12489,12269,12291
2004-04-14,12279,12328,12224,12310
2004-04-15,12319,12345,12232,12283
2004-04-16,12270,12372,12257,12368
2004-04-19,12359,12365,12305,12342
2004-04-20,12339,12394,12183,12198
2004-04-21,12210,12246,12156,12230
2004-04-22,12232,12409,12185,12362
2004-04-23,12387,12405,12322,12384
2004-04-26,12371,12426,12330,12389
2004-04-27,12392,12453,12367,12397
2004-04-28,12396,12401,12243,12273
2004-04-29,12264,12320,12129,12201
2004-04-30,12187,12248,12122,12133
2004-05-03,12135,12242,12135,12222
2004-05-04,12230,12306,12172,12208
2004-05-05,12207,12264,12178,12235
2004-05-06,12232,12239,12084,12152
2004-05-07,12153,12193,11995,12010
2004-05-10,12009,12020,11843,11882
2004-05-11,11891,11954,11879,11915
2004-05-12,11915,11990,11770,11983
2004-05-13,11978,11997,11888,11913
2004-05-14,11917,11988,11845,11927
2004-05-17,11923,11923,11783,11844
2004-05-18,11838,11909,11838,11887
2004-05-19,11890,12022,11835,11856
2004-05-20,11848,11902,11826,11884
2004-05-21,11876,11965,11867,11897
2004-05-24,11925,11976,11855,11900
2004-05-25,11905,12050,11841,12041
2004-05-26,12030,12057,12002,12050
2004-05-27,12046,12154,12044,12147
2004-05-28,12142,12155,12099,12130
2004-06-01,12132,12140,12058,12130
